Title,Price,Rating,Availability,Link,Image
"Acer Nitro Lite 16,Intel Core i7 13620H Processor,NVIDIA GeForce RTX 4050-6 GB GDDR6, 16GB/ 512 GB, 16.0""/40.64 cm, 165 Hz, Win 11 Home, White, 1.95 kg, NL16-71G, Backlit KB,Gaming Laptop","85,999",N/A,In Stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMzQzMTUwNjE3NDgzMDY1OjE3NTg1NTg4Mzk6c3BfYXRmX2Jyb3dzZTozMDA3MjI5MjY2NTM5MzI6OjA6Og&url=%2FAcer-Processor-GeForce-NL16-71G-Backlit%2Fdp%2FB0FF4X6PZR%2Fref%3Dsr_1_25_sspa%3Fdib%3DeyJ2IjoiMSJ9.L2PGd4smwTbimYK5vV3ZqZdNC_pxhz-aUz0RcWGH4_BHgIyEdNcavmO--vXPS0ZqIas4-NapnrzYhKizaGLohvbELs9wWqFMRNsl03AXpoghCqvbduxNaf43bBw5gGwkeHynv3PcFcgq1tTvOMsuXUhIUTm00V9OsmjjA-dB7qdZoLk-Xg7ldgGl6OHKGmub2MPAGpGZRv1a8XHBwMHTho-DLRCbfHoDwNLTbGYajYT9lqQwVHVlFd2GUSm_eQtc80RtsJRcxFHimirrAXE-RaZPYyPECTalv7tGapVcNrM.wvGauFiTfHuNsMa4Yooxood-Q3BNNlQyiTTIhq_X6lU%26dib_tag%3Dse%26qid%3D1758558839%26s%3Dcomputers%26sr%3D1-25-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1&aref=UnlQZ9Fmmb&sp_cr=ZAZ,https://m.media-amazon.com/images/I/71+wPkYfpXL._AC_UL320_.jpg
"Acer Nitro V 15, AMD Ryzen 5 6600H Hexa-core Processor,NVIDIA GeForce RTX 4050-6GB GDDR6,16 GB, 512 GB, Full HD IPS, 15.6""/39.62 cm, 165 Hz, Win 11 Home,Obsidian Black, 2.1 kg, ANV15-41,Gaming Laptop","64,990",N/A,In Stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMzQzMTUwNjE3NDgzMDY1OjE3NTg1NTg4Mzk6c3BfYXRmX2Jyb3dzZTozMDA3MjQ0NTc0Mzk5MzI6OjA6Og&url=%2FAcer-Hexa-core-Processor-4050-6GB-ANV15-41%2Fdp%2FB0FPQ7YC8D%2Fref%3Dsr_1_26_sspa%3Fdib%3DeyJ2IjoiMSJ9.L2PGd4smwTbimYK5vV3ZqZdNC_pxhz-aUz0RcWGH4_BHgIyEdNcavmO--vXPS0ZqIas4-NapnrzYhKizaGLohvbELs9wWqFMRNsl03AXpoghCqvbduxNaf43bBw5gGwkeHynv3PcFcgq1tTvOMsuXUhIUTm00V9OsmjjA-dB7qdZoLk-Xg7ldgGl6OHKGmub2MPAGpGZRv1a8XHBwMHTho-DLRCbfHoDwNLTbGYajYT9lqQwVHVlFd2GUSm_eQtc80RtsJRcxFHimirrAXE-RaZPYyPECTalv7tGapVcNrM.wvGauFiTfHuNsMa4Yooxood-Q3BNNlQyiTTIhq_X6lU%26dib_tag%3Dse%26qid%3D1758558839%26s%3Dcomputers%26sr%3D1-26-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1&aref=n3dG08MXOo&sp_cr=ZAZ,https://m.media-amazon.com/images/I/71l3rBy8IPL._AC_UL320_.jpg
"ASUS Vivobook 15, Smartchoice,Intel Corei5 13thGen 13420H, 16GB RAM, 512GB SSD, FHD 15.6"", Win11, Office Home'24, M365 Basic (1Year)*, Cool Silver, 1.70kg, X1502VA-BQ835WS, Intel UHD iGPU, Laptop","46,990",,In Stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMzQzMTUwNjE3NDgzMDY1OjE3NTg1NTg4Mzk6c3BfYXRmX2Jyb3dzZTozMDA1NDk3NzcwMDg1MzI6OjA6Og&url=%2FASUS-Vivobook-i5-13420H-Keyboard-X1502VA-BQ835WS%2Fdp%2FB0DTYHD5D1%2Fref%3Dsr_1_27_sspa%3Fdib%3DeyJ2IjoiMSJ9.L2PGd4smwTbimYK5vV3ZqZdNC_pxhz-aUz0RcWGH4_BHgIyEdNcavmO--vXPS0ZqIas4-NapnrzYhKizaGLohvbELs9wWqFMRNsl03AXpoghCqvbduxNaf43bBw5gGwkeHynv3PcFcgq1tTvOMsuXUhIUTm00V9OsmjjA-dB7qdZoLk-Xg7ldgGl6OHKGmub2MPAGpGZRv1a8XHBwMHTho-DLRCbfHoDwNLTbGYajYT9lqQwVHVlFd2GUSm_eQtc80RtsJRcxFHimirrAXE-RaZPYyPECTalv7tGapVcNrM.wvGauFiTfHuNsMa4Yooxood-Q3BNNlQyiTTIhq_X6lU%26dib_tag%3Dse%26qid%3D1758558839%26s%3Dcomputers%26sr%3D1-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1&aref=vBOxfFCony&sp_cr=ZAZ,https://m.media-amazon.com/images/I/718goB02iNL._AC_UL320_.jpg
"HP 255 G10 AMD Athlon Dual Core 7120U - (8 GB/256 GB SSD/Windows 11 Home) Thin and Light Laptop (15.6 inch, Ash Silver, 1.35 kg)","22,116",,In Stock,https://www.amazon.in/HP-%E2%80%8E%E2%80%8ELaptop-Athlon-Silver-Windows/dp/B0DV984J97/ref=sr_1_28?dib=eyJ2IjoiMSJ9.L2PGd4smwTbimYK5vV3ZqZdNC_pxhz-aUz0RcWGH4_BHgIyEdNcavmO--vXPS0ZqIas4-NapnrzYhKizaGLohvbELs9wWqFMRNsl03AXpoghCqvbduxNaf43bBw5gGwkeHynv3PcFcgq1tTvOMsuXUhIUTm00V9OsmjjA-dB7qdZoLk-Xg7ldgGl6OHKGmub2MPAGpGZRv1a8XHBwMHTho-DLRCbfHoDwNLTbGYajYT9lqQwVHVlFd2GUSm_eQtc80RtsJRcxFHimirrAXE-RaZPYyPECTalv7tGapVcNrM.wvGauFiTfHuNsMa4Yooxood-Q3BNNlQyiTTIhq_X6lU&dib_tag=se&qid=1758558839&s=computers&sr=1-28,https://m.media-amazon.com/images/I/71rw7cd14mL._AC_UL320_.jpg
"2022 Apple MacBook Air Laptop with M2 chip: 34.46 cm (13.6-inch) Liquid Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone/iPad; Silver","82,990",,In Stock,https://www.amazon.in/2022-Apple-MacBook-Laptop-chip/dp/B0B3BLY13H/ref=sr_1_29?dib=eyJ2IjoiMSJ9.L2PGd4smwTbimYK5vV3ZqZdNC_pxhz-aUz0RcWGH4_BHgIyEdNcavmO--vXPS0ZqIas4-NapnrzYhKizaGLohvbELs9wWqFMRNsl03AXpoghCqvbduxNaf43bBw5gGwkeHynv3PcFcgq1tTvOMsuXUhIUTm00V9OsmjjA-dB7qdZoLk-Xg7ldgGl6OHKGmub2MPAGpGZRv1a8XHBwMHTho-DLRCbfHoDwNLTbGYajYT9lqQwVHVlFd2GUSm_eQtc80RtsJRcxFHimirrAXE-RaZPYyPECTalv7tGapVcNrM.wvGauFiTfHuNsMa4Yooxood-Q3BNNlQyiTTIhq_X6lU&dib_tag=se&qid=1758558839&s=computers&sr=1-29,https://m.media-amazon.com/images/I/71eXNIDUGjL._AC_UL320_.jpg
"HP Smartchoice Omen AMD Ryzen 7 7840Hs, 8GB RTX 4060 (16GB DDR5, 1TB SSD) FHD, 165Hz, 300Nits, IPS, 16.1''/40.9cm, Win11, Office 21, Black, 2.32kg, Xd0020ax, RGB kb, Tempest Cooling, AI Gaming Laptop","1,03,990",,In Stock,https://www.amazon.in/Smartchoice-300Nits-Xd0020ax-Tempest-Cooling/dp/B0CCVZP835/ref=sr_1_30?dib=eyJ2IjoiMSJ9.L2PGd4smwTbimYK5vV3ZqZdNC_pxhz-aUz0RcWGH4_BHgIyEdNcavmO--vXPS0ZqIas4-NapnrzYhKizaGLohvbELs9wWqFMRNsl03AXpoghCqvbduxNaf43bBw5gGwkeHynv3PcFcgq1tTvOMsuXUhIUTm00V9OsmjjA-dB7qdZoLk-Xg7ldgGl6OHKGmub2MPAGpGZRv1a8XHBwMHTho-DLRCbfHoDwNLTbGYajYT9lqQwVHVlFd2GUSm_eQtc80RtsJRcxFHimirrAXE-RaZPYyPECTalv7tGapVcNrM.wvGauFiTfHuNsMa4Yooxood-Q3BNNlQyiTTIhq_X6lU&dib_tag=se&qid=1758558839&s=computers&sr=1-30,https://m.media-amazon.com/images/I/715WLPCIrIL._AC_UL320_.jpg
"ASUS Vivobook 15, Intel Core i3 13th Gen 1315U, 12GB RAM, 512GB SSD, FHD 15.6"", Windows 11, Office Home 2024, Quiet Blue, 1.7Kg, X1504VA-BQ332WS, Intel UHD iGPU, M365 Basic (1Year)*, 42Whrs Laptop","32,990",N/A,In Stock,https://www.amazon.in/ASUS-Vivobook-i3-1315U-Windows-X1504VA-BQ332WS/dp/B0FKBM4SWJ/ref=sr_1_31?dib=eyJ2IjoiMSJ9.L2PGd4smwTbimYK5vV3ZqZdNC_pxhz-aUz0RcWGH4_BHgIyEdNcavmO--vXPS0ZqIas4-NapnrzYhKizaGLohvbELs9wWqFMRNsl03AXpoghCqvbduxNaf43bBw5gGwkeHynv3PcFcgq1tTvOMsuXUhIUTm00V9OsmjjA-dB7qdZoLk-Xg7ldgGl6OHKGmub2MPAGpGZRv1a8XHBwMHTho-DLRCbfHoDwNLTbGYajYT9lqQwVHVlFd2GUSm_eQtc80RtsJRcxFHimirrAXE-RaZPYyPECTalv7tGapVcNrM.wvGauFiTfHuNsMa4Yooxood-Q3BNNlQyiTTIhq_X6lU&dib_tag=se&qid=1758558839&s=computers&sr=1-31,https://m.media-amazon.com/images/I/71OUu3JeNIL._AC_UL320_.jpg
"Dell 15, Intel Core i3 13th Gen - 1305U, 8GB DDR4 RAM, 512GB SSD, FHD 15.6""/39.62 cm, Windows 11, MSO'21, Titan Grey, 1.69kg, 120Hz 250 nits Display, 15 Month McAfee, Thin & Light Laptop","33,990",,In Stock,https://www.amazon.in/Dell-Inspiron-3530-i3-1305U-Comfortview/dp/B0C4ZM63RP/ref=sr_1_32?dib=eyJ2IjoiMSJ9.L2PGd4smwTbimYK5vV3ZqZdNC_pxhz-aUz0RcWGH4_BHgIyEdNcavmO--vXPS0ZqIas4-NapnrzYhKizaGLohvbELs9wWqFMRNsl03AXpoghCqvbduxNaf43bBw5gGwkeHynv3PcFcgq1tTvOMsuXUhIUTm00V9OsmjjA-dB7qdZoLk-Xg7ldgGl6OHKGmub2MPAGpGZRv1a8XHBwMHTho-DLRCbfHoDwNLTbGYajYT9lqQwVHVlFd2GUSm_eQtc80RtsJRcxFHimirrAXE-RaZPYyPECTalv7tGapVcNrM.wvGauFiTfHuNsMa4Yooxood-Q3BNNlQyiTTIhq_X6lU&dib_tag=se&qid=1758558839&s=computers&sr=1-32,https://m.media-amazon.com/images/I/71CRvTZxi8L._AC_UL320_.jpg
"Dell Vostro, Intel Core i3 13th Gen - 1305U, 16GB DDR4 RAM, 512GB, FHD 15.6""/39.6 cm, Windows 11, Office H&S 2024, Carbon Grey, 1.66Kg, 120Hz 250 nits Narrow Border Display, Intel UHD Graphics Laptop","35,990",,In Stock,https://www.amazon.in/Dell-i3-1305U-Display-Graphics-Windows/dp/B0FG2RJ9NC/ref=sr_1_33?dib=eyJ2IjoiMSJ9.L2PGd4smwTbimYK5vV3ZqZdNC_pxhz-aUz0RcWGH4_BHgIyEdNcavmO--vXPS0ZqIas4-NapnrzYhKizaGLohvbELs9wWqFMRNsl03AXpoghCqvbduxNaf43bBw5gGwkeHynv3PcFcgq1tTvOMsuXUhIUTm00V9OsmjjA-dB7qdZoLk-Xg7ldgGl6OHKGmub2MPAGpGZRv1a8XHBwMHTho-DLRCbfHoDwNLTbGYajYT9lqQwVHVlFd2GUSm_eQtc80RtsJRcxFHimirrAXE-RaZPYyPECTalv7tGapVcNrM.wvGauFiTfHuNsMa4Yooxood-Q3BNNlQyiTTIhq_X6lU&dib_tag=se&qid=1758558839&s=computers&sr=1-33,https://m.media-amazon.com/images/I/61SYJmpvfIL._AC_UL320_.jpg
"Lenovo LOQ, AMD Ryzen 7 7435HS, NVIDIA RTX 3050A 4GB, 24GB RAM, 512GB SSD, 15.6""(39.6cm), 144Hz, Windows 11, Office Home 2024, Grey, 2.4Kg, 83JC00GDIN, 3 Mon. Game Pass Gaming Laptop","65,990",,In Stock,https://www.amazon.in/Lenovo-7435HS-Refresh-Windows-83JC00GDIN/dp/B0F837CQSW/ref=sr_1_34?dib=eyJ2IjoiMSJ9.L2PGd4smwTbimYK5vV3ZqZdNC_pxhz-aUz0RcWGH4_BHgIyEdNcavmO--vXPS0ZqIas4-NapnrzYhKizaGLohvbELs9wWqFMRNsl03AXpoghCqvbduxNaf43bBw5gGwkeHynv3PcFcgq1tTvOMsuXUhIUTm00V9OsmjjA-dB7qdZoLk-Xg7ldgGl6OHKGmub2MPAGpGZRv1a8XHBwMHTho-DLRCbfHoDwNLTbGYajYT9lqQwVHVlFd2GUSm_eQtc80RtsJRcxFHimirrAXE-RaZPYyPECTalv7tGapVcNrM.wvGauFiTfHuNsMa4Yooxood-Q3BNNlQyiTTIhq_X6lU&dib_tag=se&qid=1758558839&s=computers&sr=1-34,https://m.media-amazon.com/images/I/710OD6pvjHL._AC_UL320_.jpg
